section,day,subject,start_time,end_time,room,professor
J2,Wed,MPWS,10:30,11:30,DG-06,AS
J2,Wed,PH,13:30,14:30,CF-07,MP
J1,Thu,PH,08:30,09:30,CF-03,MP
J1,Thu,MPWS,10:30,11:30,DG-06,PM
J1,Thu,CAMD,10:30,11:30,CS-17,SS
J1,Thu,SWAYAM/NPTEL,14:30,15:30,,
J1,Thu,LG LAB,14:30,15:30,CS-22,LKR
J2,Thu,PH,08:30,09:30,CF-03,MP
J2,Thu,MPWS,10:30,11:30,DG-06,PM
J2,Thu,CAMD,10:30,11:30,CS-17,SS
J2,Thu,SWAYAM/NPTEL,14:30,15:30,,
J2,Thu,LG LAB,14:30,15:30,CS-22,LKR
J1,Fri,PH,08:30,09:30,CS-08,PKS
J1,Fri,CSK,09:30,10:30,CS-08,SK
J1,Fri,M,10:30,11:30,CS-08,MNM
J1,Fri,BME,11:30,12:30,CF-07,SS
J2,Fri,PH,08:30,09:30,CS-08,PKS
J2,Fri,CSK,09:30,10:30,CS-08,SK
J2,Fri,M,10:30,11:30,CS-08,MNM
J2,Fri,BME,11:30,12:30,CF-07,SS
J1,Sat,CSK,09:30,10:30,CS-05,SK
J1,Sat,PH,10:30,11:30,CS-05,PKS
J1,Sat,BME,11:30,12:30,CS-05,SS
J1,Sat,M,11:30,12:30,CS-05,MNM
J2,Sat,CSK,09:30,10:30,CS-05,SK
J2,Sat,PH,10:30,11:30,CS-05,PKS
J2,Sat,BME,11:30,12:30,CS-05,SS
J2,Sat,M,11:30,12:30,CS-05,MNM
K1,Mon,SWAYAM/NPTEL,08:30,10:30,,
K1,Mon,PH,10:30,11:30,CS-08,SB
K1,Mon,M,11:30,12:30,CS-08,SKB
K1,Mon,CSK,13:30,14:30,CF-07,DS
K2,Mon,LG LAB,08:30,10:30,CS-22,SHB
K2,Mon,PH,10:30,11:30,CS-08,SB
K2,Mon,M,11:30,12:30,CS-08,SKB
K2,Mon,CSK,13:30,14:30,CF-07,DS
K1,Tue,LG LAB,08:30,10:30,CS-22,SHB
K1,Tue,PH,10:30,11:30,CF-14,SB
K1,Tue,CSK,13:30,14:30,CS-05,DS
K1,Tue,M,14:30,15:30,CS-05,SKB
K2,Tue,SWAYAM/NPTEL,08:30,10:30,,
K2,Tue,PH,10:30,11:30,CF-14,SB
K2,Tue,CSK,13:30,14:30,CS-05,DS
K2,Tue,M,14:30,15:30,CS-05,SKB
K1,Wed,M,08:30,09:30,CG-09,SKB
